Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Open_to_hire_Ukrainians,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,currency_exchange_rate,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
Frontend Developer (Angular),Katowice,PL,java,partly_remote,mid,2022-04-27T07:00:18.292Z,FALSE,FALSE,FALSE,10,0,17000,25000,pln,0,Jest,3,Angular,3,TypeScript,3
Java Developer (Backend),Katowice,PL,java,partly_remote,mid,2022-04-26T15:00:13.260Z,TRUE,FALSE,FALSE,10,0,17000,25000,pln,0,RESTful API,3,REST,3,Java,3
Scala Developer,Kraków,PL,scala,remote,mid,2022-04-22T10:26:00.000Z,TRUE,TRUE,FALSE,15,0,17000,25000,pln,0,Scala FP libraries,3,AWS,3,Scala,4
Senior Java Developer (+‎React),Warszawa,PL,java,remote,senior,2022-10-03T14:00:09.898Z,TRUE,TRUE,TRUE,2300,0,17000,18800,pln,0,Problem Solving,4,Analytical Thinking,4,Communication Skills,4
Python Developer (strong SQL and Spark),Warszawa,PL,python,remote,mid,2022-09-27T10:00:10.066Z,TRUE,TRUE,TRUE,2300,0,17000,22000,pln,0,SQL,3,English,3,Python,3
Senior JavaScript Developer (Angular),Warszawa,PL,javascript,remote,senior,2022-05-04T12:31:00.000Z,TRUE,TRUE,TRUE,2000,0,17000,20000,pln,0,Teamwork,3,Angular,3,JavaScript,4
Senior .Net Developer,Warszawa,PL,net,remote,senior,2022-03-13T15:00:13.560Z,TRUE,TRUE,,2000,0,17000,22000,pln,0,SQL Server,4,CQRS,4,ASP.NET MVC/Core,5
Senior React Native Developer,Kraków,PL,mobile,remote,senior,2022-04-06T09:00:24.191Z,TRUE,TRUE,TRUE,180,0,17000,22000,pln,0,JS,3,TypeScript,4,React Native,5
Mobile C++/3D Software Engineer,Warszawa,PL,mobile,remote,mid,2022-10-03T15:00:09.696Z,TRUE,TRUE,TRUE,30,50,17000,26000,pln,0,Git,2,3d graphics,3,C++,4
Android Software Engineer,Poznań,PL,mobile,remote,mid,2022-05-20T14:18:00.000Z,TRUE,TRUE,TRUE,30,50,17000,24000,pln,0,Kotlin,3,Java,3,Android SDK,3
Embedded C++ Software Engineer,Katowice,PL,c,remote,mid,2022-05-19T11:27:00.000Z,TRUE,TRUE,TRUE,30,50,17000,24000,pln,0,Design Patterns,3,C++11,3,C++,4
Android Developer,Warszawa,PL,mobile,remote,mid,2022-05-09T10:28:00.000Z,TRUE,TRUE,TRUE,30,50,17000,22000,pln,0,Kotlin,3,Java,3,Android SDK,3
Senior Frontend Software Engineer,Gdańsk,PL,javascript,remote,senior,2022-04-25T07:59:00.000Z,TRUE,TRUE,TRUE,500,0,17000,32000,pln,0,TypeScript,3,Node,3,React,4
Inżynier Big Data (AWS),Poznań,PL,data,remote,mid,2022-07-30T10:00:09.828Z,TRUE,TRUE,FALSE,240,0,17000,26000,pln,0,Big Data,3,AWS,3,English,4
Inżynier Big Data (AWS),Kraków,PL,data,remote,mid,2022-04-25T06:00:00.000Z,TRUE,TRUE,FALSE,240,0,17000,26000,pln,0,Big Data,3,AWS,3,English,4
Senior Frontend Software Engineer,Gdańsk,PL,javascript,remote,senior,2022-04-07T17:00:14.028Z,TRUE,TRUE,FALSE,40,0,17000,32000,pln,0,Node.js,3,ReactJS,4,JavaScript,4
Java Technical Lead,Poznań,PL,java,remote,senior,2022-08-12T15:00:10.009Z,TRUE,TRUE,TRUE,3000,0,17000,25000,pln,0,Java,4,unknown,0,unknown,0
Python Developer,Wrocław,PL,python,remote,senior,2022-07-13T11:33:29.429Z,TRUE,TRUE,TRUE,90,0,17000,21000,pln,0,SQL,4,Docker,4,Python,4
Data Engineer,Wrocław,PL,analytics,remote,senior,2022-05-04T11:06:00.000Z,TRUE,TRUE,TRUE,80,0,17000,22000,pln,0,Python,4,OOP,5,SQL,5
